"date","close","open","high","low","volume","change"
"11/10/2022","4.256,50","4.202,50","4.213,00","4.180,00","0,68K","0,12"
"10/10/2022","4.251,25","4.183,36","4.202,50","4.180,00","0,53K","0,02"
"07/10/2022","4.250,33","4.198,00","4.200,67","4.183,36","1,00K","0,03"
"06/10/2022","4.249,00","4.196,70","4.198,00","4.175,00","0,94K","0,02"
"05/10/2022","4.248,35","4.198,00","4.198,00","4.133,00","1,06K","-0,02"
"04/10/2022","4.249,00","4.200,00","4.200,00","4.133,00","1,03K","2,81"
"03/10/2022","4.133,00","4.192,60","4.200,00","4.133,00","0,62K","-2,67"
"30/09/2022","4.246,30","4.153,00","4.192,60","4.047,00","1,05K","0,47"
"29/09/2022","4.226,50","4.152,00","4.185,00","4.133,00","1,06K","0,01"
"28/09/2022","4.226,00","4.170,00","4.181,50","4.115,00","1,06K","-0,21"
"27/09/2022","4.235,00","4.160,00","4.170,00","4.115,00","0,97K","0,12"
"26/09/2022","4.230,00","4.133,02","4.160,00","4.115,00","0,53K","0,06"
"23/09/2022","4.227,50","4.155,00","4.155,00","4.113,26","0,95K","0,00"
"22/09/2022","4.227,50","4.137,00","4.155,00","4.095,00","0,81K","0,21"
"21/09/2022","4.218,50","4.137,14","4.137,14","4.095,00","1,06K","0,00"
"20/09/2022","4.218,57","4.122,42","4.137,14","4.095,00","1,05K","0,17"
"19/09/2022","4.211,21","4.130,00","4.137,71","4.090,00","1,00K","-0,09"
"16/09/2022","4.215,00","4.130,00","4.130,00","4.090,00","1,12K","0,00"
"15/09/2022","4.215,00","4.130,00","4.130,00","4.095,00","1,17K","0,00"
"14/09/2022","4.215,00","4.132,00","4.134,00","4.101,00","0,84K","-0,02"
"13/09/2022","4.216,00","4.130,00","4.132,00","4.100,00","1,07K","0,02"
"12/09/2022","4.215,00","4.113,26","4.130,00","4.095,00","0,68K","0,24"
"09/09/2022","4.205,00","4.130,00","4.130,00","4.090,00","1,09K","-0,24"
"08/09/2022","4.215,00","4.113,50","4.130,00","4.090,00","1,08K","0,20"
"07/09/2022","4.206,75","4.122,00","4.122,00","4.085,00","0,77K","-0,10"
"06/09/2022","4.211,00","4.122,50","4.123,50","4.080,00","0,56K","-0,01"
"05/09/2022","4.211,25","4.112,60","4.122,50","4.080,00","0,49K","0,12"
"02/09/2022","4.206,30","4.112,60","4.115,25","4.080,00","0,77K","0,00"
"01/09/2022","4.206,30","4.112,60","4.112,60","4.085,00","1,08K","0,00"
"31/08/2022","4.206,30","4.111,00","4.116,75","4.085,00","0,61K","0,02"
"30/08/2022","4.205,50","4.113,00","4.113,00","4.090,00","1,04K","-0,02"
"29/08/2022","4.206,50","4.104,22","4.118,79","4.085,00","0,43K","0,04"
